Date,Value,Anomaly
1895,45.2,-0.9
1896,45.4,-0.7
1897,45.3,-0.8
1898,45.7,-0.4
1899,45.1,-1
1900,47,0.9
1901,45.8,-0.3
1902,45.3,-0.8
1903,44.9,-1.2
1904,46.6,0.5
1905,45.9,-0.2
1906,46.9,0.8
1907,45.2,-0.9
1908,45.9,-0.2
1909,44.3,-1.8
1910,46,-0.1
1911,44.7,-1.4
1912,45.5,-0.6
1913,44.7,-1.4
1914,46.5,0.4
1915,46.9,0.8
1916,43,-3.1
1917,45.5,-0.6
1918,46.8,0.7
1919,44.8,-1.3
1920,45.5,-0.6
1921,45.5,-0.6
1922,44.2,-1.9
1923,46.4,0.3
1924,46,-0.1
1925,47.8,1.7
1926,47.9,1.8
1927,45.1,-1
1928,46.4,0.3
1929,44.4,-1.7
1930,45.2,-0.9
1931,46.5,0.4
1932,45.5,-0.6
1933,45.4,-0.7
1934,49.1,3
1935,45.4,-0.7
1936,45.9,-0.2
1937,45.3,-0.8
1938,47.1,1
1939,47.5,1.4
1940,48.1,2
1941,47.9,1.8
1942,46.4,0.3
1943,45.4,-0.7
1944,46.5,0.4
1945,46.3,0.2
1946,45.9,-0.2
1947,47,0.9
1948,44.3,-1.8
1949,44.9,-1.2
1950,44.3,-1.8
1951,45.4,-0.7
1952,46.1,0
1953,47.4,1.3
1954,45.1,-1
1955,43.4,-2.7
1956,45.3,-0.8
1957,45.5,-0.6
1958,49,2.9
1959,45.5,-0.6
1960,45.7,-0.4
1961,47,0.9
1962,46.2,0.1
1963,46.7,0.6
1964,44.8,-1.3
1965,46.7,0.6
1966,46.9,0.8
1967,47.8,1.7
1968,46.3,0.2
1969,45.5,-0.6
1970,46,-0.1
1971,45.4,-0.7
1972,45.3,-0.8
1973,46.5,0.4
1974,46.7,0.6
1975,45.2,-0.9
1976,45.9,-0.2
1977,46.2,0.1
1978,45.9,-0.2
1979,46.4,0.3
1980,46.1,0
1981,47.3,1.2
1982,45.5,-0.6
1983,46.7,0.6
1984,45.3,-0.8
1985,43.9,-2.2
1986,47.3,1.2
1987,48.3,2.2
1988,47.3,1.2
1989,46.6,0.5
1990,47.3,1.2
1991,47.1,1
1992,48.6,2.5
1993,45.6,-0.5
1994,47.9,1.8
1995,47.5,1.4
1996,45.6,-0.5
1997,47.1,1
1998,48.6,2.5
1999,46.9,0.8
2000,46.2,0.1
2001,46.9,0.8
2002,46.9,0.8
2003,48.2,2.1
2004,48.4,2.3
2005,47.3,1.2
2006,47.5,1.4
2007,46.8,0.7
2008,45.8,-0.3
2009,46.4,0.3
2010,47.1,1
2011,45.5,-0.6
2012,47.1,1
2013,47.2,1.1
2014,48.4,2.3
2015,50,3.9
2016,48.6,2.5
2017,46.8,0.7
2018,48.1,2
2019,46.5,0.4
2020,48.1,2
2021,48.3,2.2
2022,47.1,1